date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2022-06-01,28.71,1.1879,3563.7,123.938703,15595.750554,238945.03,447798.19,208853.16,87.41
2022-07-01,24.8,1.5098,4529.53,182.382585,15778.133139,243474.56,391297.36,147822.8,60.71
2022-08-01,26.57,1.4656,4396.89,165.246357,15943.379496,247871.45,423619.12,175747.67,70.9
2022-09-01,26.06,1.3823,4146.86,158.922152,16102.301648,252018.32,419570.54,167552.22,66.48
2022-10-03,23.13,1.6969,5090.65,219.811844,16322.113492,257108.97,377468.18,120359.21,46.81
2022-11-01,22.54,1.6719,5015.65,222.226614,16544.340107,262124.61,372873.78,110749.17,42.25
2022-12-01,26.78,1.1593,3477.79,129.677218,16674.017325,265602.41,446541.23,180938.83,68.12
2023-01-03,25.06,1.0726,3217.93,128.221802,16802.239127,268820.34,421079.39,152259.05,56.64
2023-02-01,27.53,0.8551,2565.17,93.031336,16895.270463,271385.51,465192.9,193807.4,71.41
2023-03-01,27.61,0.9111,2733.17,98.833573,16994.104036,274118.67,469290.4,195171.72,71.2
2023-04-06,28.0,0.6924,2077.26,74.091213,17068.195249,276195.94,477852.59,201656.66,73.01
2023-05-02,27.23,0.6264,1879.21,68.906226,17137.101475,278075.14,466696.74,188621.6,67.83
2023-06-01,28.96,0.6051,1815.38,62.603162,17199.704637,279890.52,498049.83,218159.31,77.94
2023-07-03,30.24,0.5165,1549.57,51.167688,17250.872325,281440.09,521684.18,240244.09,85.36
2023-08-01,30.39,0.5455,1636.6,53.778112,17304.650437,283076.69,525874.92,242798.23,85.77
2023-09-01,29.56,0.7805,2341.6,79.113577,17383.764014,285418.29,513791.77,228373.48,80.01
2023-10-02,29.17,0.9246,2773.86,94.962446,17478.72646,288192.15,509828.15,221636.0,76.91
2023-11-01,28.58,0.9068,2720.54,95.049474,17573.775935,290912.69,502286.7,211374.02,72.66
2023-12-01,30.94,0.8077,2423.03,78.200253,17651.976187,293335.72,546168.08,252832.36,86.19
2024-01-02,31.67,0.7531,2259.26,71.23922,17723.215408,295594.99,561270.27,265675.28,89.88
2024-02-01,32.28,0.7561,2268.21,70.177565,17793.392973,297863.2,574281.85,276418.66,92.8
2024-03-01,34.3,0.5,1500.0,43.663242,17837.056215,299363.2,611899.4,312536.21,104.4
2024-04-01,37.81,0.5,1500.0,39.613157,17876.669372,300863.2,675958.42,375095.23,124.67
2024-05-02,37.51,0.5,1500.0,39.930266,17916.599637,302363.2,672088.12,369724.92,122.28
2024-06-03,40.73,0.5,1500.0,36.774463,17953.374101,303863.2,731261.26,427398.06,140.65
2024-07-01,44.83,0.5,1500.0,33.414312,17986.788413,305363.2,806294.92,500931.73,164.04
2024-08-01,44.43,0.5,1500.0,33.714199,18020.502612,306863.2,800620.83,493757.63,160.9
2024-09-02,43.67,0.5,1500.0,34.301421,18054.804034,308363.2,788412.49,480049.29,155.68
2024-10-01,44.33,0.5,1500.0,33.787648,18088.591682,309863.2,801898.91,492035.71,158.79
2024-11-01,46.0,0.5,1500.0,32.563842,18121.155524,311363.2,833533.54,522170.35,167.7
2024-12-02,46.29,0.7181,2154.37,46.476938,18167.632462,313517.57,840935.44,527417.87,168.23
2025-01-02,46.85,0.7423,2226.94,47.460632,18215.093094,315744.5,853467.97,537723.47,170.3
2025-02-03,47.17,0.6841,2052.18,43.442219,18258.535313,317796.68,861293.66,543496.98,171.02
2025-03-03,46.03,0.8146,2443.79,53.01139,18311.546703,320240.48,842950.33,522709.85,163.22
2025-04-01,43.16,1.1526,3457.85,80.007799,18391.554502,323698.33,793732.83,470034.5,145.21
2025-05-02,42.47,1.3742,4122.57,96.927513,18488.482015,327820.91,785243.45,457422.54,139.53
2025-06-02,43.06,1.1022,3306.51,76.679942,18565.161957,331127.41,799407.47,468280.06,141.42
2025-07-01,47.63,0.9325,2797.52,58.653968,18623.815925,333924.93,887004.49,553079.56,165.63
2025-08-01,50.39,0.7442,2232.6,44.244447,18668.060372,336157.53,940661.05,604503.51,179.83
2025-09-01,51.28,0.646,1937.92,37.740002,18705.800375,338095.46,959163.7,621068.25,183.7
2025-10-01,57.29,0.5,1500.0,26.144697,18731.945072,339595.46,1073178.8,733583.34,216.02
2025-11-03,63.26,0.5,1500.0,23.678984,18755.624056,341095.46,1186427.73,845332.27,247.83
2025-12-01,60.64,0.5,1500.0,24.699299,18780.323355,342595.46,1138914.88,796319.42,232.44
2026-01-02,66.02,0.5,1500.0,22.688677,18803.012032,344095.46,1241340.94,897245.48,260.75
2026-02-02,71.5,0.5,1500.0,20.949168,18823.9612,345595.46,1345913.23,1000317.77,289.45
2026-03-02,80.35,0.5,1500.0,18.641762,18842.602962,347095.46,1514003.12,1166907.66,336.19
2026-04-01,75.45,0.5,1500.0,19.852427,18862.455389,348595.46,1423172.2,1074576.74,308.26
